eta,Ek,Pr,Pm,rStrat,dsdr,Ra,Rac,Ro,Ro_std,Rm,Rm_std,BouPower,OhmDiss,ViscDiss,Ekt,Ekt_ax,Ekp,Ekp_ax,Ekin,Emt,Emt_ax,Emp,Emp_ax,Emag
0.4, 1.6e-05 ,1 ,5 , 0.60 , 328 ,4.77e+07 , 2.0e+00 ,0.0088 , 0.0026 ,219 ,  57  ,1.65e+08 ,2.68e+07 ,1.38e+08 ,7.93e+03 ,3.23e+02 ,8.88e+03 ,1.62e+01 ,1.68e+04 ,7.68e+03 ,6.50e+03 ,2.54e+04 ,2.43e+04 ,3.31e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,4.77e+07 , 1.8e+00 ,0.0122 , 0.0020 ,301 ,  43  ,2.41e+08 ,6.95e+07 ,2.11e+08 ,1.77e+04 ,9.40e+02 ,1.24e+04 ,1.37e+01 ,3.01e+04 ,9.32e+03 ,2.71e+03 ,3.57e+04 ,2.04e+04 ,4.50e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 250 ,6.25e+07 , 2.6e+00 ,0.0138 , 0.0031 ,387 ,  88  ,4.41e+08 ,1.17e+08 ,3.49e+08 ,2.85e+04 ,1.05e+03 ,2.18e+04 ,1.49e+01 ,5.02e+04 ,2.10e+04 ,3.00e+03 ,3.14e+04 ,1.58e+04 ,5.24e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,6.25e+07 , 2.4e+00 ,0.0189 , 0.0022 ,485 ,  70  ,6.63e+08 ,2.72e+08 ,5.29e+08 ,4.66e+04 ,2.21e+03 ,3.02e+04 ,4.32e+01 ,7.68e+04 ,2.70e+04 ,1.04e+04 ,5.81e+04 ,3.03e+04 ,8.51e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 200 ,7.81e+07 , 3.3e+00 ,0.0183 , 0.0035 ,517 , 110  ,8.11e+08 ,2.49e+08 ,6.09e+08 ,5.14e+04 ,1.85e+03 ,3.66e+04 ,3.14e+01 ,8.80e+04 ,2.42e+04 ,6.28e+03 ,3.87e+04 ,2.69e+04 ,6.29e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,7.81e+07 , 3.0e+00 ,0.0294 , 0.0037 ,732 , 140  ,1.36e+09 ,3.70e+08 ,1.25e+09 ,1.07e+05 ,3.62e+03 ,6.72e+04 ,6.77e+01 ,1.74e+05 ,1.20e+04 ,2.98e+03 ,2.22e+04 ,9.70e+03 ,3.42e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 150 ,1.04e+08 , 4.3e+00 ,0.0274 , 0.0048 ,773 , 156  ,2.12e+09 ,9.72e+08 ,1.39e+09 ,1.06e+05 ,3.23e+03 ,8.95e+04 ,1.74e+02 ,1.95e+05 ,8.52e+04 ,3.74e+03 ,3.96e+04 ,4.86e+03 ,1.25e+05 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,1.04e+08 , 4.0e+00 ,0.0416 , 0.0050 ,1081, 215  ,3.40e+09 ,1.66e+09 ,2.73e+09 ,2.36e+05 ,9.80e+03 ,1.42e+05 ,2.30e+02 ,3.78e+05 ,1.87e+04 ,1.23e+03 ,5.32e+04 ,3.90e+03 ,7.18e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 100 ,1.56e+08 , 6.5e+00 ,0.0401 , 0.0060 ,1190, 242  ,4.76e+09 ,2.18e+09 ,3.25e+09 ,2.57e+05 ,6.17e+03 ,2.01e+05 ,3.52e+02 ,4.58e+05 ,6.46e+04 ,1.28e+04 ,6.14e+04 ,2.12e+04 ,1.26e+05 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,1.56e+08 , 6.0e+00 ,0.0651 , 0.0076 ,1734, 354  ,1.01e+10 ,6.07e+09 ,7.95e+09 ,5.81e+05 ,1.59e+04 ,3.92e+05 ,8.65e+02 ,9.73e+05 ,4.64e+04 ,1.71e+03 ,7.68e+04 ,9.21e+03 ,1.23e+05 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 50  ,3.12e+08 , 1.3e+01 ,0.0612 , 0.0070 ,2022, 387  ,1.43e+10 ,7.58e+09 ,9.23e+09 ,7.82e+05 ,5.02e+04 ,5.34e+05 ,1.37e+03 ,1.32e+06 ,3.45e+04 ,1.23e+03 ,4.59e+04 ,4.09e+03 ,8.04e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,3.12e+08 , 1.2e+01 ,0.1191 , 0.0183 ,3279, 717  ,4.09e+10 ,2.77e+10 ,3.66e+10 ,2.09e+06 ,5.30e+04 ,1.41e+06 ,6.11e+03 ,3.50e+06 ,2.31e+04 ,6.44e+02 ,2.65e+04 ,2.27e+03 ,4.95e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 25  ,6.25e+08 , 2.6e+01 ,0.0908 , 0.0118 ,3097, 632  ,3.99e+10 ,2.34e+10 ,2.48e+10 ,1.83e+06 ,1.25e+05 ,1.25e+06 ,5.82e+03 ,3.09e+06 ,1.55e+06 ,2.34e+04 ,1.58e+06 ,2.12e+04 ,3.12e+06 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,6.25e+08 , 2.4e+01 ,0.2053 , 0.0327 ,5460, 1233 ,1.47e+11 ,1.12e+11 ,1.37e+11 ,5.77e+06 ,3.48e+05 ,3.96e+06 ,3.20e+04 ,9.73e+06 ,3.04e+06 ,4.02e+04 ,3.03e+06 ,4.37e+04 ,6.06e+06 
