eta,Ek,Pr,Pm,rStrat,dsdr,Ra,Rac,Ro,Ro_std,Rm,Rm_std,Ekt,Ekt_ax,Ekp,Ekp_ax,Ekin,Emt,Emt_ax,Emp,Emp_ax,Emag
0.4, 1.6e-05 ,1 ,5 , 0.60 , 200 ,7.81e+07 , 2.0e+00 ,0.0097 , 0.0038 ,301 ,  63  ,4.06e+04 ,2.68e+03 ,4.50e+04 ,5.65e+01 ,8.56e+04 ,3.42e+04 ,2.03e+04 ,5.23e+04 ,3.82e+04 ,8.65e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,7.81e+07 , 2.2e+00 ,0.0143 , 0.0042 ,353 ,  49  ,6.24e+04 ,5.19e+03 ,5.30e+04 ,5.43e+01 ,1.15e+05 ,3.65e+04 ,1.25e+04 ,3.84e+04 ,2.19e+04 ,7.49e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 100 ,1.56e+08 , 3.9e+00 ,0.0250 , 0.0044 ,838 , 234  ,2.85e+05 ,1.27e+04 ,2.63e+05 ,2.74e+02 ,5.48e+05 ,8.30e+04 ,2.99e+04 ,7.91e+04 ,4.16e+04 ,1.62e+05 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,1.56e+08 , 4.4e+00 ,0.0367 , 0.0028 ,980 , 276  ,4.34e+05 ,2.97e+04 ,3.12e+05 ,4.27e+02 ,7.46e+05 ,1.00e+05 ,4.31e+04 ,6.12e+04 ,3.16e+04 ,1.62e+05 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 50  ,3.12e+08 , 7.9e+00 ,0.0476 , 0.0046 ,1647, 619  ,1.08e+06 ,3.61e+04 ,8.88e+05 ,1.86e+03 ,1.97e+06 ,2.98e+05 ,2.24e+04 ,1.91e+05 ,2.29e+04 ,4.89e+05 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,3.12e+08 , 8.8e+00 ,0.0703 , 0.0060 ,1925, 744  ,1.56e+06 ,5.59e+04 ,1.18e+06 ,3.24e+03 ,2.73e+06 ,2.90e+05 ,7.16e+04 ,3.75e+05 ,1.80e+05 ,6.65e+05 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 25  ,6.25e+08 , 1.6e+01 ,0.0804 , 0.0105 ,2953, 1207 ,3.43e+06 ,2.40e+05 ,2.81e+06 ,1.13e+04 ,6.24e+06 ,1.67e+06 ,8.11e+04 ,1.71e+06 ,6.20e+04 ,3.38e+06 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,6.25e+08 , 1.8e+01 ,0.1201 , 0.0168 ,3191, 1334 ,4.08e+06 ,1.39e+05 ,3.36e+06 ,1.61e+04 ,7.44e+06 ,4.50e+06 ,2.81e+05 ,5.28e+06 ,5.42e+05 ,9.78e+06 
