eta,   Ek    ,Pr,Pm,rStrat,dsdr ,   Ra    ,   Rac   ,  Ro   , Ro_std , Rm ,Rm_std,   Ekt   , Ekt_ax  ,   Ekp   , Ekp_ax  ,  Ekin   ,   Emt   , Emt_ax  ,   Emp   , Emp_ax  ,  Emag   
0.4, 1.6e-05 ,1 ,5 , 0.60 , 200 ,7.81e+07 , 2.0e+00 ,0.0194 , 0.0036 ,576 ,  93  ,5.08e+04 ,1.96e+03 ,3.53e+04 ,7.55e+01 ,8.61e+04 ,4.54e+04 ,1.87e+03 ,4.60e+04 ,1.16e+04 ,9.13e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,7.81e+07 , 2.2e+00 ,0.0215 , 0.0012 ,742 ,  59  ,8.71e+04 ,3.96e+03 ,5.26e+04 ,2.40e+02 ,1.40e+05 ,8.48e+04 ,4.36e+04 ,3.76e+05 ,3.29e+05 ,4.61e+05 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 100 ,1.56e+08 , 3.9e+00 ,0.0389 , 0.0060 ,1156, 165  ,2.02e+05 ,1.05e+04 ,1.42e+05 ,3.07e+02 ,3.45e+05 ,4.10e+04 ,6.98e+02 ,1.85e+04 ,1.24e+03 ,5.95e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,1.56e+08 , 4.4e+00 ,0.0720 , 0.0093 ,2072, 304  ,6.87e+05 ,1.33e+04 ,4.18e+05 ,1.03e+03 ,1.11e+06 ,7.92e+03 ,1.88e+02 ,7.53e+03 ,5.48e+02 ,1.54e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 50  ,3.12e+08 , 7.9e+00 ,0.0587 , 0.0074 ,1926, 266  ,5.76e+05 ,2.10e+04 ,3.78e+05 ,1.02e+03 ,9.54e+05 ,4.87e+04 ,1.82e+04 ,5.76e+04 ,3.66e+04 ,1.06e+05 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,3.12e+08 , 8.8e+00 ,0.1283 , 0.0214 ,3715, 589  ,2.23e+06 ,9.73e+04 ,1.34e+06 ,6.89e+03 ,3.56e+06 ,2.58e+04 ,5.08e+02 ,2.49e+04 ,9.85e+02 ,5.08e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 25  ,6.25e+08 , 1.6e+01 ,0.0860 , 0.0107 ,2892, 443  ,1.33e+06 ,6.82e+04 ,8.26e+05 ,3.47e+03 ,2.16e+06 ,1.10e+06 ,2.70e+04 ,9.82e+05 ,2.81e+04 ,2.09e+06 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,6.25e+08 , 1.8e+01 ,0.2186 , 0.0365 ,6145, 1006 ,6.04e+06 ,6.33e+05 ,3.72e+06 ,3.33e+04 ,9.76e+06 ,3.09e+06 ,4.37e+04 ,2.76e+06 ,3.94e+04 ,5.85e+06 
